institution,course_name,url,badges,also_offered_with_languages,partner_subjects,raw_variant_count
Aberdeen,MA (hons) international relations & sociology,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/757/LLF3/international-relations-and-sociology/,Year abroad,,sociology,1
Aberdeen,MA (hons) legal studies & politics,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/778/ML12/legal-studies-and-politics/,Year abroad,,legal studies,1
Aberdeen,MA (hons) international relations & legal studies,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/755/MLC2/international-relations-and-legal-studies/,Year abroad,,legal studies,1
Aberdeen,MA (hons) film & visual culture & international relations,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/613/WL62/film-visual-culture-and-international-relations/,Year abroad,,"film, visual culture",1
Aberdeen,MA (hons) international relations American studies,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/716/RL2K/hispanic-studies-and-international-relations/,Year abroad,"Latin, Spanish",,2
Aberdeen,MA (hons) international relations,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/1856/RLF4/german-and-international-relations/,Year abroad,"French, German",,4
Aberdeen,MA (hons) politics,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/664/QL52/gaelic-studies-and-politics/,Year abroad,"French, Gaelic, German",,3
Aberdeen,MA (hons) politics American studies,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/728/RL42/hispanic-studies-and-politics-5-years/,Year abroad,"Latin, Spanish",,1
Manchester,BA (hons) development studies,https://www.manchester.ac.uk/study/undergraduate/courses/2025/05130/baecon-development-studies/,,,,1
Manchester,BA (hons) politics & sociology,https://www.manchester.ac.uk/study/undergraduate/courses/2025/08829/bass-politics-and-sociology/,,,sociology,1
Manchester,BSocSc (hons) politics & international relations,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00675/bsocsc-politics-and-international-relations/,,,,1
Manchester,BSc (hons) global development,https://www.manchester.ac.uk/study/undergraduate/courses/2025/20251/bsc-global-development/,,,,1
Manchester,BSc (hons) global development with international study,https://www.manchester.ac.uk/study/undergraduate/courses/2025/21403/bsc-global-development-with-international-study/,,,international study,1
